,horodatage_local,poste,jour,heure,mois,jour_semaine,temperature_ext,humidite,vitesse_vent,neige,irradiance_solaire,heure_sin,heure_cos,mois_sin,mois_cos,jour_semaine_sin,jour_semaine_cos,est_weekend,est_ferie,clients_connectes,tstats_intelligents_connectes,evenement_pointe,energie_kwh,energie_lag1,energie_lag24,degre_jour_chauffage,degre_jour_clim,indice_temp_cons,indice_temp_client,facteur_eolien
0,2022-01-01 05:00:00+00:00,A,1,0,1,7,-1.200000048,92,0.5,0.0,0.0,0.0,1.0,0.5,0.866025404,-2.45e-16,1.0,1,1,17,118,0,60.93166421,0.0,0.0,19.200000048,0.0,1474.5600073727999,25067.520125337596,737.2800036863999
1,2022-01-01 06:00:00+00:00,A,1,1,1,7,-1.299999952,93,1.0,0.0,0.0,0.258819045,0.965925826,0.5,0.866025404,-2.45e-16,1.0,1,1,17,118,0,59.11700792,60.93166421,60.93166421,19.299999952,0.0,1489.9599925888,25329.3198740096,1489.9599925888
2,2022-01-01 07:00:00+00:00,C,1,2,1,7,-1.200000048,93,1.0,0.0,0.0,0.5,0.866025404,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,142.9116645,0.0,0.0,19.200000048,0.0,1474.5600073727999,51609.600258048,1474.5600073727999
3,2022-01-01 08:00:00+00:00,A,1,3,1,7,-1.200000048,94,1.0,0.0,0.0,0.707106781,0.707106781,0.5,0.866025404,-2.45e-16,1.0,1,1,17,118,0,52.32365675,59.11700792,60.024336065,19.200000048,0.0,1474.5600073727999,25067.520125337596,1474.5600073727999
4,2022-01-01 11:00:00+00:00,A,1,6,1,7,-1.0,97,1.5,0.0,0.0,1.0,6.12e-17,0.5,0.866025404,-2.45e-16,1.0,1,1,17,118,0,78.3511662,52.32365675,57.752503889511345,19.0,0.0,1444.0,24548.0,2166.0
5,2022-01-01 12:00:00+00:00,C,1,7,1,7,-0.600000024,98,1.0,0.0,0.0,0.965925826,-0.258819045,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,195.7211405,142.9116645,142.9116645,18.600000024,0.0,1383.8400035712,48434.400124992,1383.8400035712
6,2022-01-01 15:00:00+00:00,C,1,10,1,7,-0.200000003,99,1.5,0.0,72.23000336,0.5,-0.866025404,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,187.3483006,195.7211405,169.31640249999998,18.200000003,0.0,1324.9600004367999,46373.60001528799,1987.4400006551998
7,2022-01-01 16:00:00+00:00,C,1,11,1,7,0.0,98,2.099999905,0.0,80.45999908,0.258819045,-0.965925826,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,196.0571559,187.3483006,178.95298767032108,18.0,0.0,1296.0,45360.0,2721.5998768799996
8,2022-01-01 17:00:00+00:00,C,1,12,1,7,0.400000006,97,1.0,0.0,82.90000153,1.22e-16,-1.0,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,208.2608376,196.0571559,183.2098316332543,17.599999994,0.0,1239.0399991552001,43366.399970432,1239.0399991552001
9,2022-01-01 19:00:00+00:00,C,1,14,1,7,0.899999976,96,1.0,2.0,71.23000336,-0.5,-0.866025404,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,196.367204,208.2608376,187.92701998976585,17.100000024,0.0,1169.6400032832,40937.400114912,1169.6400032832
